SciName,HebName,IsInteractingInitialByRon,IsInteractingAddedByEyalShochat,CommentsByEyal,IsInteractingFinalByRon
Accipiter nisus,נץ מצוי,0,1,,1
Acridotheres tristis,מיינה מצויה,1,1,,1
Acrocephalus scirpaceus,קנית קטנה,1,?,דוגרת בקנים ושטחי גדה / ביצה בלבד. נופים אלה למיטב ידיעתי לא מנוטרים בנקודות הדגימה.,0
Alaudala rufescens/heinei,עפרונן גמדי,1,1,,1
Alectoris chukar,חוגלת סלעים,1,1,,1
Ammomanes cinctura,עפרוני חכלילי,1,1,,1
Ammomanes deserti,עפרוני מדבר,1,1,,1
Ammoperdix heyi,קורא מדברי,1,1,,1
Anas platyrhynchos,ברכיה,0,0,,0
Anthus similis,פפיון הרים,1,1,,1
Apus apus,סיס חומות,0,?,דוגר במבנים. ניתן לשער כי הסיסים הנצפים בנקודות - רובם ככולם לא דוגרים בהן.,0
Apus pallidus,סיס חוורוור,0,?,דוגר במערות ובמבנים. ניתן לשער כי הסיסים הנצפים בנקודות - רובם ככולם לא דוגרים בהן.,0
Argya squamiceps,זנבן ערבי,1,1,,1
Athene noctua,כוס החורבות,1,1,,1
Bubulcus ibis,אנפית בקר,1,0,נצפית בדרך כלל בסביבות עדרים,0
Bucanetes githagineus,חצוצרן מדבר,1,1,,1
Burhinus oedicnemus,כרוון מצוי,1,1,,1
Buteo rufinus,עקב עיטי,0,?,"ברור כי העקבים אינם דוגרים בנקודות הדגימה, אולם הם נצפים בנקודות שבאיזורים בהם הם דוגרים",0
Calandrella brachydactyla,עפרונן קצר-אצבעות,1,?,"להערכתי מרבית הפרטים הנצפים הם נודדים. למשל - בחולות פנימיים ראיתי השנה פרטים במספר נקודות, אולם בית הגידול איננו סביר לקינון.",0
Carduelis carduelis,חוחית,1,1,,1
Carpospiza brachydactyla,דרורית קצרת-אצבעות,1,1,,1
Cecropis daurica,סנונית מערות,1,?,דוגרת במבנים. פרטים נצפים בדכ בשולי יישובים וברור כי הם דוגרים בסביבה הקרובה. להשאיר.,1
Cercotrichas galactotes,חמריה חלודת-זנב,1,1,,1
Cettia cetti,צטיה חלודית,1,1,,1
Chlamydotis macqueenii,חוברה מדברית,1,1,,1
Chloris chloris,ירקון,1,1,,1
Cinnyris osea,צופית בוהקת,1,1,,1
Circaetus gallicus,חיוויאי הנחשים,0,?,"פרטים על פי רוב נצפים בנקודות שבאיזורי הקינון, וגם עלח פי התנהגותם מדובר בדוגרים.",0
Cisticola juncidis,תפר,1,1,,1
Clamator glandarius,קוקיה מצויצת,1,1,,1
Columba livia,יונת סלעים,1,1,,1
Coracias garrulus,כחל מצוי,1,1,,1
Corvus corax,עורב שחור,0,0,דוגר מצוקים לא שכיח. נצפה בנקודות שבאזורי הקינון,0
Corvus cornix,עורב אפור,1,1,,1
Corvus monedula,קאק,1,1,,1
Corvus ruficollis,עורב חום-עורף,0,?,נצפה באיזורי קינון כלליים. להשאיר.,1
Coturnix coturnix,שליו נודד,1,?,ברוב השנים דוגר נדיר מאד. להוריד.,0
Cuculus canorus,קוקיה אירופית,1,?,"בעיקר חולפת. בבתות יש אוכלוסיה מטילה, ושם עפיר נשמעת השירה.",1
Curruca communis,סבכי קוצים,1,1,,1
