SciName,campaign,year,season,unit,subunit,site,point_name,habitat,orig_lon,orig_lat,date,time,rad_0_20,rad_20_100,rad_100_250,rad_over_250,protocol,monitors_name,comment_weather,comment_disturbances,notes,record_id,total_count,weather_desc,wind,precipitation,temperature,clouds,disturbances,pilot,agriculture,settlements,dunes,land_use,interaction,protocol.version,established,SPECIES_CODE,count_under_250,latitude,longitude
Ammomanes deserti,T0,2014,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,27/05/2014 00:00,,0,0,2,1,,,,,,,3,,,,,,,False,Far,,,,,,,deslar1,2,30.69168,35.24664
Galerida cristata,T0,2014,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,27/05/2014 00:00,,0,0,2,0,,,,,,,2,,,,,,,False,Far,,,,,,,crelar1,2,30.69168,35.24664
Streptopelia decaocto,T0,2014,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,27/05/2014 00:00,,0,0,2,2,,,,,,,4,,,,,,,False,Far,,,,,,,eucdov,2,30.69168,35.24664
Ammomanes deserti,T1,2016,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,19/04/2016 00:00,07:35:00,0,1,0,0,,,,,,,1,,,,,,,False,Far,,,,,,,deslar1,1,30.69168,35.24664
Ammoperdix heyi,T1,2016,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,19/04/2016 00:00,07:35:00,0,0,1,0,,,,,,,1,,,,,,,False,Far,,,,,,,sanpar1,1,30.69168,35.24664
Oenanthe melanura,T1,2016,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,19/04/2016 00:00,07:35:00,0,0,1,0,,,,,,,1,,,,,,,False,Far,,,,,,,blacks1,1,30.69168,35.24664
Hirundo rustica,T1,2016,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,19/04/2016 00:00,07:35:00,0,0,1,0,,,,,,,1,,,,,,,False,Far,,,,,,,barswa,1,30.69168,35.24664
Lanius excubitor,T1,2016,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,19/04/2016 00:00,07:35:00,0,1,0,0,,,,,,,1,,,,,,,False,Far,,,,,,,norshr1,1,30.69168,35.24664
Motacilla flava,T1,2016,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,19/04/2016 00:00,07:35:00,0,0,0,5,,,,,,,5,,,,,,,False,Far,,,,,,,eaywag1,0,30.69168,35.24664
Pycnonotus xanthopygos,T1,2016,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,19/04/2016 00:00,07:35:00,0,0,2,0,,,,,,,2,,,,,,,False,Far,,,,,,,whsbul1,2,30.69168,35.24664
Riparia riparia,T1,2016,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,19/04/2016 00:00,07:35:00,0,0,0,5,,,,,,,5,,,,,,,False,Far,,,,,,,banswa,0,30.69168,35.24664
Scotocerca inquieta,T1,2016,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,19/04/2016 00:00,07:35:00,0,0,1,0,,,,,,,1,,,,,,,False,Far,,,,,,,stswar1,1,30.69168,35.24664
Streptopelia decaocto,T1,2016,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,19/04/2016 00:00,07:35:00,0,0,2,5,,,,,,,7,,,,,,,False,Far,,,,,,,eucdov,2,30.69168,35.24664
Ammomanes deserti,T2,2018,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,21/04/2018 00:00,08:37:00,0,0,1,0,B,,,,,,1,,,,,,,False,Far,,,,,,,deslar1,1,30.69168,35.24664
Streptopelia decaocto,T2,2018,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,21/04/2018 00:00,08:37:00,0,0,2,0,A,,,,,,2,,,,,,,False,Far,,,,,,,eucdov,2,30.69168,35.24664
Streptopelia decaocto,T2,2018,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,21/04/2018 00:00,08:37:00,0,0,2,0,B,,,,,,2,,,,,,,False,Far,,,,,,,eucdov,2,30.69168,35.24664
Sylvia atricapilla,T2,2018,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,21/04/2018 00:00,08:37:00,1,0,0,0,A,,,,,,1,,,,,,,False,Far,,,,,,,blackc1,1,30.69168,35.24664
Sylvia atricapilla,T2,2018,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,21/04/2018 00:00,08:37:00,0,1,0,0,B,,,,,,1,,,,,,,False,Far,,,,,,,blackc1,1,30.69168,35.24664
Curruca curruca,T2,2018,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,21/04/2018 00:00,08:37:00,0,1,0,0,A,,,,,,1,,,,,,,False,Far,,,,,,,leswhi4,1,30.69168,35.24664
Argya squamiceps,T2,2018,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,21/04/2018 00:00,08:37:00,0,1,0,0,A,,,,,,1,,,,,,,False,Far,,,,,,,arabab1,1,30.69168,35.24664
Ammomanes deserti,T3,2020,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,21/04/2020 03:00,10:08:40,0,0,1,1,B,Eyal Shochat,,,,88.0,2,,,,,,,False,Far,,,,,,,deslar1,1,30.69168,35.24664
Buteo buteo,T3,2020,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,21/04/2020 03:00,10:08:40,0,0,0,1,A,Eyal Shochat,,,בראש שיטה,88.0,1,,,,,,,False,Far,,,,,,,combuz1,0,30.69168,35.24664
Calandrella brachydactyla,T3,2020,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,21/04/2020 03:00,10:08:40,0,0,1,0,A,Eyal Shochat,,,בנדידה צפונה,88.0,1,,,,,,,False,Far,,,,,,,gstlar1,1,30.69168,35.24664
Emberiza hortulana,T3,2020,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,21/04/2020 03:00,10:08:40,0,0,1,0,B,Eyal Shochat,,,קולות בנדידה צפונה,88.0,1,,,,,,,False,Far,,,,,,,ortbun1,1,30.69168,35.24664
Merops apiaster,T3,2020,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,21/04/2020 03:00,10:08:40,0,0,0,3,B,Eyal Shochat,,,קולות בנדידה,88.0,3,,,,,,,False,Far,,,,,,,eubeat1,0,30.69168,35.24664
Passer domesticus,T3,2020,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,21/04/2020 03:00,10:08:40,0,2,2,0,A,Eyal Shochat,,,,88.0,4,,,,,,,False,Far,,,,,,,houspa,4,30.69168,35.24664
Pycnonotus xanthopygos,T3,2020,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,21/04/2020 03:00,10:08:40,0,0,1,1,B,Eyal Shochat,,,,88.0,2,,,,,,,False,Far,,,,,,,whsbul1,1,30.69168,35.24664
Scotocerca inquieta,T3,2020,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,21/04/2020 03:00,10:08:40,0,0,1,0,B,Eyal Shochat,,,,88.0,1,,,,,,,False,Far,,,,,,,stswar1,1,30.69168,35.24664
Streptopelia decaocto,T3,2020,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,21/04/2020 03:00,10:08:40,0,0,0,4,A,Eyal Shochat,,,,88.0,4,,,,,,,False,Far,,,,,,,eucdov,0,30.69168,35.24664
Streptopelia decaocto,T3,2020,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,21/04/2020 03:00,10:08:40,0,1,0,2,B,Eyal Shochat,,,,88.0,3,,,,,,,False,Far,,,,,,,eucdov,1,30.69168,35.24664
Sylvia atricapilla,T3,2020,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,21/04/2020 03:00,10:08:40,1,1,0,0,A,Eyal Shochat,,,,88.0,2,,,,,,,False,Far,,,,,,,blackc1,2,30.69168,35.24664
Sylvia atricapilla,T3,2020,Spring,Arid South,,Ein Yahav,Ein Yahav Far 1,,35.24664,30.69168,21/04/2020 03:00,10:08:40,0,1,0,0,B,Eyal Shochat,,,,88.0,1,,,,,,,False,Far,,,,,,,blackc1,1,30.69168,35.24664
