SciName,campaign,year,season,unit,subunit,site,point_name,habitat,lon,lat,date,time,rad_0_20,rad_20_100,rad_100_250,rad_over_250,protocol,monitors_name,comment_weather,comment_disturbances,notes,record_id,total_count,weather_desc,wind,precipitation,temperature,clouds,disturbances,pilot,agriculture,settlements,dunes,land_use,interaction,protocol.version,established,SPECIES_CODE,count_under_250
Ammomanes deserti,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Far 1a,NA,35.24128,30.69099,18/05/2012 00:00,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,deslar1,2
Ammoperdix heyi,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Far 1a,NA,35.24128,30.69099,18/05/2012 00:00,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,sanpar1,1
Cuculus canorus,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Far 1a,NA,35.24128,30.69099,18/05/2012 00:00,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,comcuc,0
Falco peregrinus pelegrinoides,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Far 1a,NA,35.24128,30.69099,18/05/2012 00:00,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,barfal1,1
Iduna pallida,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Far 1a,NA,35.24128,30.69099,18/05/2012 00:00,NA,2,2,0,0,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,eaowar1,4
Lanius nubicus,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Far 1a,NA,35.24128,30.69099,18/05/2012 00:00,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,masshr1,1
Merops cyanophrys,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Far 1a,NA,35.24128,30.69099,18/05/2012 00:00,NA,0,2,0,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,grnbee2,2
Riparia riparia,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Far 1a,NA,35.24128,30.69099,18/05/2012 00:00,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,banswa,1
Scotocerca inquieta,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Far 1a,NA,35.24128,30.69099,18/05/2012 00:00,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,stswar1,2
Streptopelia decaocto,T0,2012,Spring,Arid South,NA,Ein Yahav,Ein Yahav Far 1a,NA,35.24128,30.69099,18/05/2012 00:00,NA,2,6,6,0,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,TRUE,Far,NA,NA,NA,,NA,NA,eucdov,14
