"SCIENTIFIC_NAME","TAXON_ORDER","CATEGORY","SPECIES_CODE","PRIMARY_COM_NAME","ORDER","FAMILY","REPORT_AS","HebName"
"Passer hemileucus",30925,"species","aakspa1","Abd al Kuri Sparrow","Passeriformes","Passeridae",NA,"Abd al Kuri Sparrow"
"Malacocincla abbotti",25751,"species","abbbab1","Abbott's Babbler","Passeriformes","Pellorneidae",NA,"Abbott's Babbler"
"Papasula abbotti",7124,"species","abbboo2","Abbott's Booby","Suliformes","Sulidae",NA,"Abbott's Booby"
"Arizelopsar femoralis",27349,"species","abbsta2","Abbott's Starling","Passeriformes","Sturnidae",NA,"Abbott's Starling"
"Horornis flavolivaceus",24636,"species","abbwar1","Aberrant Bush Warbler","Passeriformes","Scotocercidae",NA,"Aberrant Bush Warbler"
"Horornis flavolivaceus [flavolivaceus Group]",24646,"issf","abbwar2","Aberrant Bush Warbler (Aberrant)","Passeriformes","Scotocercidae","abbwar1","Aberrant Bush Warbler (Aberrant)"
"Horornis flavolivaceus intricatus/oblitus",24650,"issf","abbwar3","Aberrant Bush Warbler (Perplexing)","Passeriformes","Scotocercidae","abbwar1","Aberrant Bush Warbler (Perplexing)"
"Cryptospiza salvadorii",30589,"species","abcwin1","Abyssinian Crimsonwing","Passeriformes","Estrildidae",NA,"Abyssinian Crimsonwing"
"Ciconia abdimii",7054,"species","abdsto1","Abdim's Stork","Ciconiiformes","Ciconiidae",NA,"חסידת אבדים"
"Cisticola aberdare",22988,"species","abecis1","Aberdare Cisticola","Passeriformes","Cisticolidae",NA,"Aberdare Cisticola"
"Turdus tephronotus",27936,"species","abethr1","African Bare-eyed Thrush","Passeriformes","Turdidae",NA,"African Bare-eyed Thrush"
"Melozone aberti",32668,"species","abetow","Abert's Towhee","Passeriformes","Passerellidae",NA,"Abert's Towhee"
"Geokichla piaggiae",27783,"species","abgthr1","Abyssinian Ground-Thrush","Passeriformes","Turdidae",NA,"Abyssinian Ground-Thrush"
"Oriolus larvatus",19186,"species","abhori1","African Black-headed Oriole","Passeriformes","Oriolidae",NA,"African Black-headed Oriole"
"Rhinopomastus minor",9357,"species","absbil1","Abyssinian Scimitarbill","Bucerotiformes","Phoeniculidae",NA,"Abyssinian Scimitarbill"
"Geospizopsis plebejus",34668,"species","absfin1","Ash-breasted Sierra Finch","Passeriformes","Thraupidae",NA,"Ash-breasted Sierra Finch"
"Anairetes alpinus",16177,"species","abttyr1","Ash-breasted Tit-Tyrant","Passeriformes","Tyrannidae",NA,"Ash-breasted Tit-Tyrant"
"Sylvia galinieri",24726,"species","abycat1","Abyssinian Catbird","Passeriformes","Sylviidae",NA,"Abyssinian Catbird"
"Geokichla piaggiae [piaggiae Group]",27784,"issf","abygrt1","Abyssinian Ground-Thrush (Abyssinian)","Passeriformes","Turdidae","abgthr1","Abyssinian Ground-Thrush (Abyssinian)"
"Macronyx flavicollis",31284,"species","abylon1","Abyssinian Longclaw","Passeriformes","Motacillidae",NA,"Abyssinian Longclaw"
"Caprimulgus poliocephalus poliocephalus",3680,"issf","abynig1","Montane Nightjar (Abyssinian)","Caprimulgiformes","Caprimulgidae","monnig1","Montane Nightjar (Abyssinian)"
"Coracias abyssinicus",10035,"species","abyrol2","Abyssinian Roller","Coraciiformes","Coraciidae",NA,"כחל אתיופי"
"Serinus nigriceps",31924,"species","abysis1","Ethiopian Siskin","Passeriformes","Fringillidae",NA,"Ethiopian Siskin"
"Melaenornis chocolatinus",28310,"species","abyslf1","Abyssinian Slaty-Flycatcher","Passeriformes","Muscicapidae",NA,"Abyssinian Slaty-Flycatcher"
"Turdus abyssinicus",27844,"species","abythr1","Abyssinian Thrush","Passeriformes","Turdidae",NA,"Abyssinian Thrush"
"Turdus abyssinicus oldeani",27845,"issf","abythr2","Abyssinian Thrush (Ngorongoro)","Passeriformes","Turdidae","abythr1","Abyssinian Thrush (Ngorongoro)"
"Turdus abyssinicus [abyssinicus Group]",27846,"issf","abythr3","Abyssinian Thrush (Abyssinian)","Passeriformes","Turdidae","abythr1","Abyssinian Thrush (Abyssinian)"
"Zosterops socotranus",25113,"species","abywhe1","Socotra White-eye","Passeriformes","Zosteropidae",NA,"לבן-עין סוקוטרה"
"Chloropicus abyssinicus",10959,"species","abywoo1","Abyssinian Woodpecker","Piciformes","Picidae",NA,"Abyssinian Woodpecker"
"Empidonax virescens",16527,"species","acafly","Acadian Flycatcher","Passeriformes","Tyrannidae",NA,"חטפית ירקרקה"
"Prunella sp.",30879,"spuh","accent1","accentor sp.","Passeriformes","Prunellidae",NA,"סתרי בלתי-מזוהה"
"Accipiter sp.",8078,"spuh","accipi","Accipitrine hawk sp. (former Accipiter sp.)","Accipitriformes","Accipitridae",NA,"נץ בלתי-מזוהה"
"Melanerpes formicivorus",10835,"species","acowoo","Acorn Woodpecker","Piciformes","Picidae",NA,"Acorn Woodpecker"
