unit,subunit,SciName,PRIMARY_COM_NAME,HebName,IsBreeding,Column1,Column2
Arid South,NA,Acridotheres tristis,Common Myna,מיינה מצויה,1,,
Arid South,NA,Ammomanes cinctura,Bar-tailed Lark,עפרוני חכלילי,1,,
Arid South,NA,Ammomanes deserti,Desert Lark,עפרוני מדבר,1,,
Arid South,NA,Ammoperdix heyi,Sand Partridge,קורא מדברי,1,,
Arid South,NA,Anthus campestris,Tawny Pipit,פפיון צהוב,0,,
Arid South,NA,Apus apus,Common Swift,סיס חומות,0,,
Arid South,NA,Apus pallidus,Pallid Swift,סיס חוורוור,0,?,"דוגר במצוקי חוור בדרום, אבל יש גם אלפים מאוכלוסיות נודדות"
Arid South,NA,Ardeola ralloides,Squacco Heron,אנפית סוף,0,,
Arid South,NA,Argya squamiceps,Arabian Babbler,זנבן ערבי,1,,
Arid South,NA,Bucanetes githagineus,Trumpeter Finch,חצוצרן מדבר,1,,
Arid South,NA,Burhinus oedicnemus,Eurasian Thick-knee,כרוון מצוי,1,,
Arid South,NA,Buteo buteo,Common Buzzard,עקב חורף,0,,
Arid South,NA,Calandrella brachydactyla,Greater Short-toed Lark,עפרונן קצר-אצבעות,0,,
Arid South,NA,Cercotrichas galactotes,Rufous-tailed Scrub-Robin,חמריה חלודת-זנב,1,,
Arid South,NA,Cinnyris osea,Palestine Sunbird,צופית בוהקת,1,,
Arid South,NA,Columba livia,Rock Pigeon,יונת סלעים,1,,
Arid South,NA,Corvus ruficollis,Brown-necked Raven,עורב חום-עורף,1,,
Arid South,NA,Cuculus canorus,Common Cuckoo,קוקיה אירופית,0,,
Arid South,NA,Curruca crassirostris,Eastern Orphean Warbler,סבכי חורש,0,,
Arid South,NA,Curruca curruca,Lesser Whitethroat,סבכי טוחנים,0,,
Arid South,NA,Curruca leucomelaena,Arabian Warbler,סבכי שיטים,1,,
Arid South,NA,Delichon urbicum,Common House-Martin,טסית בתים,0,,
Arid South,NA,Emberiza caesia,Cretzschmar's Bunting,גיבתון אדום-מקור,0,,
Arid South,NA,Emberiza hortulana,Ortolan Bunting,גיבתון גנים,0,,
Arid South,NA,Euodice malabarica,Indian Silverbill,כסוף-מקור הודי,1,,
Arid South,NA,Falco peregrinus pelegrinoides,Peregrine Falcon (Barbary),בז נודד מדברי,1,,
Arid South,NA,Falco subbuteo,Eurasian Hobby,בז עצים,0,,
Arid South,NA,Falco tinnunculus,Eurasian Kestrel,בז מצוי,1,,
Arid South,NA,Galerida cristata,Crested Lark,עפרוני מצויץ,1,,
Arid South,NA,Halcyon smyrnensis,White-throated Kingfisher,שלדג לבן חזה,1,,
Arid South,NA,Hippolais olivetorum,Olive-tree Warbler,שיחנית זית,0,,
Arid South,NA,Hirundo rustica,Barn Swallow,סנונית רפתות,0,,
Arid South,NA,Iduna pallida,Eastern Olivaceous Warbler,שיחנית קטנה,1,,
Arid South,NA,Lanius collurio,Red-backed Shrike,חנקן אדום-גב,0,,
Arid South,NA,Lanius excubitor,Great Gray Shrike,חנקן גדול,1,,
Arid South,NA,Lanius nubicus,Masked Shrike,חנקן נובי,0,,
Arid South,NA,Luscinia megarhynchos,Common Nightingale,זמיר הירדן,0,,
Arid South,NA,Merops apiaster,European Bee-eater,שרקרק מצוי,0,,
Arid South,NA,Merops cyanophrys,Arabian Green Bee-eater,שרקרק גמדי,1,,
Arid South,NA,Merops persicus,Blue-cheeked Bee-eater,שרקרק ירוק,0,,
Arid South,NA,Milvus migrans,Black Kite,דיה שחורה,0,,
Arid South,NA,Motacilla flava,Western Yellow Wagtail,נחליאלי צהוב,0,,
Arid South,NA,Muscicapa striata,Spotted Flycatcher,חטפית אפורה,0,,
Arid South,NA,Oena capensis,Namaqua Dove,תורית זנבנית,1,,
Arid South,NA,Oenanthe hispanica/melanoleuca,Western/Eastern Black-eared Wheatear,סלעית קיץ,0,,
